year,district,total,garbage,recyclable_waste,food_waste,composting,pig_feed,others
114,new_taipei,1965851,662007,1199741,104103,70849,23269,9985
114,taipei,1060454,309675,705699,45080,42484,2596,-
113,new_taipei,1868648,680970,1083185,104493,70665,26449,7379
113,taipei,989727,294274,647708,47745,44870,2875,-
112,new_taipei,2079410,924213,1045847,109351,78076,31266,8
112,taipei,768277,208756,508105,51415,48660,2755,-
111,new_taipei,1565718,508879,938512,118327,87103,30866,357
111,taipei,759391,208452,493402,57537,54759,2778,-
110,new_taipei,1538164,536851,874191,127122,89843,37265,13
110,taipei,781781,225475,495277,61028,57049,3979,-
109,new_taipei,1513068,573994,765413,124178,-,-,-
109,taipei,797948,246461,478901,61849,-,-,-
108,new_taipei,1537668,600400,760185,126983,-,-,-
108,taipei,750275,210570,459035,68839,-,-,-
107,new_taipei,1158662,390679,606677,113473,60804,51266,1402
107,taipei,755026,205932,468299,66764,57581,9183,-
106,new_taipei,990138,305408,523363,122269,65723,54641,1905
106,taipei,783268,244574,456832,68213,56096,12117,-
105,new_taipei,940086,343261,466063,125339,66378,57610,1351
105,taipei,857431,282756,484977,74622,58420,16202,-
